syn,urg,cwr,ecn,ack,push,reset,fin,ns,res,srcbytes,dstbytes,wrong,duration,srcip,srcport,dstip,dstport,type,sample_rate
2,0,0,0,101,70,0,0,0,0,38712,1317,0,6.242821,135.8.60.182,1170,172.16.114.148,25,6,1000
2,0,0,0,23,18,0,0,0,0,6268,211,0,0.053946,172.16.114.50,1034,172.16.112.100,25,6,1000
2,0,0,0,13,10,0,0,0,0,133,238,0,0.06009,172.16.114.168,1107,194.7.248.153,25,6,1000
2,0,0,0,9,6,0,0,0,0,90,155,0,0.055396,172.16.112.207,1170,194.7.248.153,25,6,1000
2,0,0,0,1,0,0,0,0,0,0,0,0,0.002757,172.16.113.50,1028,135.8.60.182,79,6,1000
2,0,0,0,16,12,0,0,0,0,4068,283,0,0.655021,194.7.248.153,2120,172.16.112.149,25,6,1000
2,0,0,0,55,34,0,0,0,0,89,211,0,2.316975,172.16.114.207,2175,172.16.114.50,23,6,1000
2,0,0,0,18,15,0,0,0,0,800,262,0,0.052190999999999994,194.27.251.21,2140,172.16.112.100,25,6,1000
2,0,0,0,4,2,0,0,0,0,23,85,0,1.008938,197.182.91.233,2298,172.16.113.105,25,6,1000
2,0,0,0,178,115,0,0,0,0,114,1331,0,3.805701,172.16.113.84,2892,172.16.112.50,23,6,1000
2,0,0,0,150,96,0,0,0,0,100,1315,0,3.6087290000000003,172.16.113.84,3084,172.16.112.50,23,6,1000
2,0,0,0,9,3,0,2,0,0,218,1773,0,0.026978,172.16.113.84,4132,205.181.112.65,80,6,1000
2,0,0,0,34,2,0,1,0,0,181,31841,0,0.11671400000000001,172.16.117.132,4219,209.143.199.30,80,6,1000
2,0,0,0,18,1,0,0,0,0,197,16060,0,0.10426700000000001,172.16.116.201,4499,207.46.179.15,80,6,1000
2,0,0,0,15,12,0,0,0,0,1144,172,0,0.065428,197.218.177.69,2740,172.16.112.100,25,6,1000
2,0,0,0,3,1,0,0,0,0,0,32,0,0.008005,197.182.91.233,3235,172.16.112.100,25,6,1000
2,0,0,0,19,15,0,0,0,0,1121,331,0,0.37745100000000004,172.16.112.149,5637,196.227.33.189,25,6,1000
2,0,0,0,169,109,0,0,0,0,105,1323,0,3.5021050000000002,172.16.114.169,6005,172.16.112.50,23,6,1000
2,0,0,0,194,130,0,0,0,0,110,738,0,7.348394,172.16.113.105,6241,172.16.113.50,23,6,1000
2,0,0,0,2,0,0,0,0,0,0,0,0,0.002373,172.16.116.201,6838,143.166.224.42,80,6,1000
2,0,0,0,3,1,0,0,0,0,199,0,0,0.003505,172.16.117.132,7330,136.149.63.132,80,6,1000
2,0,0,0,7,3,0,1,0,0,207,1719,0,0.022612,172.16.117.132,8242,209.1.224.190,80,6,1000
2,0,0,0,10,2,0,1,0,0,239,5525,0,0.051965,172.16.117.132,8295,204.123.2.107,80,6,1000
2,0,0,0,50,31,0,0,0,0,62,121,0,2.155233,172.16.113.84,8303,172.16.112.50,23,6,1000
2,0,0,0,16,1,0,0,0,0,143,13140,0,0.06023099999999999,172.16.117.132,8467,204.123.9.98,80,6,1000
2,0,0,0,84,74,0,0,0,0,12481,1435,0,1.8883889999999999,135.13.216.191,4088,172.16.112.194,25,6,1000
2,0,0,0,34,29,0,0,0,0,486,753,0,0.8153630000000001,135.13.216.191,4112,172.16.113.50,25,6,1000
2,0,0,0,9,3,0,1,0,0,339,2951,0,0.031736,172.16.115.87,9243,207.46.130.14,80,6,1000
2,0,0,0,1220,805,0,0,0,0,484,2409,0,481.514959,172.16.113.204,9305,195.115.218.108,23,6,1000
0,0,0,0,1198,786,0,0,0,0,427,6480,0,1451.336585,172.16.113.204,9305,195.115.218.108,23,6,1000
0,0,0,0,1922,1277,0,0,0,0,647,1851,0,974.6933970000001,172.16.113.204,9305,195.115.218.108,23,6,1000
0,0,0,0,390,259,0,0,0,0,132,393,0,274.46627099999984,172.16.113.204,9305,195.115.218.108,23,6,1000
0,0,0,0,227,151,0,0,0,0,76,256,0,56.34925000000021,172.16.113.204,9305,195.115.218.108,23,6,1000
0,0,0,0,600,398,0,0,0,0,204,686,0,499.434917,172.16.113.204,9305,195.115.218.108,23,6,1000
0,0,0,0,151,100,0,0,0,0,51,162,0,102.85038600000007,172.16.113.204,9305,195.115.218.108,23,6,1000
0,0,0,0,991,654,0,0,0,0,334,1416,0,1155.030436,172.16.113.204,9305,195.115.218.108,23,6,1000
0,0,0,0,367,241,0,0,0,0,123,573,0,285.59971700000006,172.16.113.204,9305,195.115.218.108,23,6,1000
0,0,0,0,1347,886,0,0,0,0,456,2500,0,1402.5979039999993,172.16.113.204,9305,195.115.218.108,23,6,1000
2,0,0,0,6,1,0,0,0,0,164,2920,0,0.053292,172.16.117.132,9814,134.205.165.120,80,6,1000
2,0,0,0,6,3,0,0,0,0,24,38,0,0.042192,172.16.114.169,10332,172.16.112.100,25,6,1000
2,0,0,0,23,1,0,0,0,0,198,21900,0,0.091552,172.16.116.201,10836,128.236.25.10,80,6,1000
2,0,0,0,9,1,0,0,0,0,260,5840,0,0.059934,172.16.115.87,11585,205.181.112.65,80,6,1000
2,0,0,0,1,0,0,0,0,0,0,0,0,0.0007509999999999999,172.16.112.100,20,197.182.91.233,4155,6,1000
2,0,0,0,8,5,0,0,0,0,52,156,0,0.07180399999999999,172.16.112.194,12879,135.13.216.191,25,6,1000
2,0,0,0,1122,737,0,0,0,0,414,6451,0,439.10928499999994,194.7.248.153,4200,172.16.112.50,23,6,1000
0,0,0,0,989,652,0,0,0,0,323,4125,0,299.98966800000005,194.7.248.153,4200,172.16.112.50,23,6,1000
2,0,0,0,4,2,0,0,0,0,359,1024,0,0.024349000000000003,172.16.115.5,13477,209.1.224.190,80,6,1000
2,0,0,0,7,2,0,2,0,0,198,367,0,0.023863,172.16.117.132,14158,160.147.68.21,80,6,1000
